id,proposal_id,title,price,description
1,1,247 早鳥超值組,2290,內容物包含：247 Catcher x 1 自動點擊器 x 1 usb - C 充電線 x 1 專屬收納包 x 1 247 Catcher 說明書 x 1【重要提醒】台灣本島地區免運費，外島地區收額外運費。全球地區皆可寄，運費於結帳時顯示。若需統編請輸入收件資訊時備註。
2,3,單組 體驗初學,1790,Ａ數學分析／Ｂ邏輯推演／Ｃ策略規劃：３組擇１ 
3,9,【好評追加！超早鳥衣褲組合】,3899,Movement 全情境短T X1 +  Movement 全情境短褲 X1 +  ▲未來售價：5060，現省1161 
4,5,小資支持 12個月每月茶包禮,800,【感謝禮】回饋您對我們計畫的支持，我們每個月會寄一包茶葉體驗包 + 電子刊物
5,10,75mm 超級早鳥價格,18800,75mm F1.8 Anamorphic 1.33X Lens X1 
6,8,【 嘖嘖超早鳥優惠 】 未來售價 $1790｜現省300元,1490,金字塔、諾克斯碉堡、龍之屋（三選一） ×1 款
7,6,x5 Project 台灣茶葉禮盒 | 邀請您一起用45款台灣茶重新認識『在地』,1888,想參與STAY最有名的親子活動嗎，此為一大一小體驗邀請，歡迎爸媽帶著你的孩子，或是孩子帶著你最愛的爸媽，參加我們90分鐘的專屬親子派對，和我們一起慶祝STAY桃園水岸店的開幕
8,7,【只想聽歌組】,720,【謎路人 2022 It's All I Have】 概念專輯 1張 
9,4,原畫畫作一件10號,15000,原畫畫作
10,2,【嘖嘖價】1 入 83 折,690,Kimoo情緒平衡軟糖 1 盒
